"","LID","Year","Squarea","Ztherm","T.epi","DOC","PLoad","Ndoy"
"1",1,2003,287.127603203875,4.83333333333333,22.9333333333333,4.00333333333333,0.3,3
"2",1,2004,287.127603203875,5.4,21.96,3.804,0.3,5
"3",1,2005,287.127603203875,5.5,25.575,3.5975,0.3,4
"4",1,2006,287.127603203875,4.75,25.4,3.92,0.3,2
"5",2,2004,85.563586777479,2,23.5,9.85,0.3,2
"6",2,2006,85.563586777479,3,23.6,7.645,0.3,2
"7",2,1996,85.563586777479,1.5,22.1,14.41,6.2,1
"8",2,1997,85.563586777479,1.875,21.95,12.7125,3.4,4
"9",2,1998,85.563586777479,1.83333333333333,23,10.35,0.3,3
"10",2,1999,85.563586777479,2,23.9666666666667,11.3066666666667,0.3,3
"11",3,2003,73.5613218010963,3.4,22.38,4.252,0.3,5
"12",3,2004,73.5613218010963,3.25,22.4,4.3325,0.3,4
"13",3,2005,73.5613218010963,3.7,24.48,4.116,0.3,5
"14",3,2006,73.5613218010963,3.6,24.04,4.434,0.3,5
"15",3,1996,73.5613218010963,3.8,20.92,4.536,0.3,5
"16",3,1997,73.5613218010963,3.5,22.975,4.895,0.3,4
"17",3,1998,73.5613218010963,3.875,23.35,4.8425,0.3,4
"18",3,1999,73.5613218010963,3.375,24,4.3725,0.3,4
"19",3,1988,73.5613218010963,3.5,23.9,4.91,0.3,4
"20",3,1989,73.5613218010963,3.5,22.48,6.032,0.3,5
"21",3,1990,73.5613218010963,3.5,21.12,4.768,0.3,5
"22",3,1991,73.5613218010963,3.5,22.75,4.98,0.3,2
"23",3,2000,73.5613218010963,3.5,19.9,4.42,0.3,1
"24",3,2001,73.5613218010963,3.4,24.22,4.236,0.3,5
"25",3,2002,73.5613218010963,3,24.12,4.83,0.3,5
"26",3,2007,73.5613218010963,3.7,23.06,4.398,0.3,5
"27",3,2008,73.5613218010963,3.3,22.62,4.622,0.3,5
"28",3,2009,73.5613218010963,4.25,20.625,4.9675,0.3,4
"29",3,2010,73.5613218010963,3.625,24.5,4.57,0.3,4
"30",3,2011,73.5613218010963,3.5,24.9,4.685,0.3,4
"31",3,2012,73.5613218010963,4,24.52,4.668,0.3,5
"32",3,2013,73.5613218010963,3.4,21.7,4.699228571,0.3,5
"33",3,2014,73.5613218010963,3.7,22.22,3.566,0.3,5
"34",3,2015,73.5613218010963,3.875,23.425,3.409166667,0.3,4
"35",3,2016,73.5613218010963,3.5,24.5,4.33,0.3,4
"36",4,2003,92.7058084855655,3.625,23.025,4.85,0.3,4
"37",4,2004,92.7058084855655,3.25,21.8,5.835,0.3,2
"38",4,2005,92.7058084855655,3.7,24.66,6.424,0.3,5
"39",4,2006,92.7058084855655,3.6,24.14,5.502,0.3,5
"40",4,1996,92.7058084855655,2,22.45,5.27,6.1,2
"41",4,1997,92.7058084855655,3.1,22.84,5.806,3.2,5
"42",4,1998,92.7058084855655,4.125,23.475,4.7625,0.3,4
"43",4,1999,92.7058084855655,3.125,24.35,4.7575,0.3,4
"44",4,1988,92.7058084855655,4.125,23.925,4.6725,0.3,4
"45",4,1989,92.7058084855655,3.7,22.8,5.362,0.3,5
"46",4,1990,92.7058084855655,4.1,21.46,4.472,0.3,5
"47",4,2000,92.7058084855655,3.5,20.7,6.6,0.3,1
"48",4,2001,92.7058084855655,3.7,24.34,4.76,0.3,5
"49",4,2002,92.7058084855655,3,24.52,6.07,3.7,5
"50",4,2007,92.7058084855655,3.6,23.44,5.014,0.3,5
"51",4,2008,92.7058084855655,3.7,22.34,6.13,0.3,5
"52",4,2009,92.7058084855655,4,20.65,6.0125,0.3,4
"53",4,2010,92.7058084855655,3.875,24.425,5.7275,0.3,4
"54",4,2011,92.7058084855655,3.3,25.24,5.64,0.3,5
"55",4,2012,92.7058084855655,4,24.7,5.406,0.3,5
"56",4,2013,92.7058084855655,3,21.7,5.818228571,3.925,5
"57",4,2014,92.7058084855655,2.875,23.075,6.0405,3.3,4
"58",4,2015,92.7058084855655,3.25,23.75,5.379166667,0.3,4
"59",4,2016,92.7058084855655,3,24.375,5.455,0.3,4
"60",5,1999,53.5237234845831,2.625,23.65,8.09,0.3,4
"61",5,1988,53.5237234845831,2.75,23.775,8.6625,0.3,4
"62",5,1989,53.5237234845831,2.25,23,9.5,0.3,4
"63",5,1990,53.5237234845831,3,21.84,8.812,0.3,5
"64",5,2002,53.5237234845831,2.8,24.24,8.4,0.3,5
"65",5,2012,53.5237234845831,2.75,24.65,9.87,0.3,4
"66",5,2013,53.5237234845831,2.375,22.35,12.39642857,3.925,4
"67",5,2014,53.5237234845831,2.5,21.72,10.09,3,5
"68",5,2015,53.5237234845831,2.625,22.325,9.354166667,0.3,4
"69",5,2016,53.5237234845831,2.375,25.05,9.62,0.3,4
"70",6,2010,77.7681672504375,3.125,24.35,10.335,0.3,4
"71",6,2012,77.7681672504375,2.125,23.575,11.64,0.3,4
"72",7,2003,104.031418957202,3,22.2,7.04,0.3,2
"73",7,2004,104.031418957202,2.5,22.06,9.376,0.3,5
"74",7,2006,104.031418957202,3,23.7,8.34,0.3,2
"75",7,1996,104.031418957202,2.375,22.125,8.9275,6.3,4
"76",7,1997,104.031418957202,2.4,22.46,8.41,3.4,5
"77",7,1998,104.031418957202,2.7,23.34,7.478,0.3,5
"78",7,1999,104.031418957202,2.5,23.175,9.015,0.3,4
"79",7,1989,104.031418957202,3,23.7,8.47,0.3,2
"80",7,1990,104.031418957202,3.25,22,6.91,0.3,2
"81",7,1992,104.031418957202,3.83333333333333,20.6333333333333,7.48333333333333,0.3,3
"82",7,1994,104.031418957202,4,20.55,9.175,2.7,2
"83",7,1995,104.031418957202,3.1,23.88,8.2,1.4,5
"84",8,1999,49.1849075936593,1.5,22.2,23.945,0.3,4
"85",8,2000,49.1849075936593,2,20.4,24.79,0.3,1
"86",8,2001,49.1849075936593,1.5,22.3666666666667,20.6433333333333,0.3,3
